,SLVID,_id_$oid,FoodCat1ID,FoodCat1Name,FoodCat2ID,FoodCat2Name,FoodCat3ID,FoodCat3Name,Variation_id_$oid,Variation_ID,Variation_Organic,Variation_CO2,Variation_text_en,Variation_text_sv,Variation_text_no,Variation_text_dk,Variation_RegionName,Variation_RegionID,Variation_Source,Name_sv,Name_no,Name_en,Name_dk,Class,Variation_RegionName_dk,Variation_RegionName_no,Variation_RegionName_en,Variation_RegionName_sv,WeightedAverageCO2
1250,385.0,5b0083876fd2dcf4a031bbd5,5,Grönsaker. rotfrukter och svamp,136,Lök,732,Lök. gul,5b7bd6c84a40085c092070d2,4.0,False,0.05,"Scandinavia, Conventional","Sverige, Konventionell","Norge, Konvensjonell","Danmark, Konventionel",Sverige,5.0,RISE-1.5,Lök gul fryst,Løk gul frosset,Onion yellow frozen,Løg gul frosne,5.0,Danmark,Norge,Scandinavia,Sverige,0.19
1251,385.0,5b0083876fd2dcf4a031bbd5,5,Grönsaker. rotfrukter och svamp,136,Lök,732,Lök. gul,5b7bd6c84a40085c092070d4,6.0,True,0.05,"Scandinavia, Organic","Sverige, Ekologisk","Norge, Økologisk","Danmark, Økologisk",Sverige,5.0,RISE-1.5,Lök gul fryst,Løk gul frosset,Onion yellow frozen,Løg gul frosne,5.0,Danmark,Norge,Scandinavia,Sverige,0.19
1252,446.0,5b0083866fd2dcf4a031b2f2,5,Grönsaker. rotfrukter och svamp,136,Lök,732,Lök. gul,5b7bd6c84a40085c092071bd,0.0,True,0.19,"Other, Organic","Övrigt ursprung, Ekologisk","Annen opprinnelse, Økologisk","Anden oprindelse, Økologisk",Övrigt,-1.0,RISE-1.4,Lök stekt,Løk stekt,Onion fried,Løg stegte,5.0,Anden oprindelse,Annen opprinnelse,Other,Övrigt ursprung,0.19
1253,446.0,5b0083866fd2dcf4a031b2f2,5,Grönsaker. rotfrukter och svamp,136,Lök,732,Lök. gul,5b7bd6c84a40085c092071bf,2.0,False,0.44,"Central Europe, Conventional","Centraleuropa, Konventionell","Sentral-Europa, Konvensjonell","Centraleuropa, Konventionel",Centraleuropa,52.0,RISE-1.5,Lök stekt,Løk stekt,Onion fried,Løg stegte,5.0,Centraleuropa,Sentral-Europa,Central Europe,Centraleuropa,0.19
1254,446.0,5b0083866fd2dcf4a031b2f2,5,Grönsaker. rotfrukter och svamp,136,Lök,732,Lök. gul,5b7bd6c84a40085c092071c3,6.0,True,0.05,"Scandinavia, Organic","Sverige, Ekologisk","Norge, Økologisk","Danmark, Økologisk",Sverige,5.0,RISE-1.5,Lök stekt,Løk stekt,Onion fried,Løg stegte,5.0,Danmark,Norge,Scandinavia,Sverige,0.19
1255,446.0,5b0083866fd2dcf4a031b2f2,5,Grönsaker. rotfrukter och svamp,136,Lök,732,Lök. gul,5b7bd6c84a40085c092071c4,7.0,False,0.05,"Scandinavia, Conventional","Sverige, Konventionell","Norge, Konvensjonell","Danmark, Konventionel",Sverige,5.0,RISE-1.5,Lök stekt,Løk stekt,Onion fried,Løg stegte,5.0,Danmark,Norge,Scandinavia,Sverige,0.19
1256,448.0,5b0083866fd2dcf4a031b2f9,5,Grönsaker. rotfrukter och svamp,136,Lök,732,Lök. gul,5b7bd6c84a40085c092071c8,0.0,True,0.19,"Other, Organic","Övrigt ursprung, Ekologisk","Annen opprinnelse, Økologisk","Anden oprindelse, Økologisk",Övrigt,-1.0,RISE-1.4,Lök kokt,Løk kokt,Onion cooked,Løg kogte,5.0,Anden oprindelse,Annen opprinnelse,Other,Övrigt ursprung,0.19
1257,448.0,5b0083866fd2dcf4a031b2f9,5,Grönsaker. rotfrukter och svamp,136,Lök,732,Lök. gul,5b7bd6c84a40085c092071ca,2.0,False,0.44,"Netherlands, Conventional","Nederländerna, Konventionell","Nederland, Konvensjonell","Holland, Konventionel",Nederländerna,42.0,RISE-1.5,Lök kokt,Løk kokt,Onion cooked,Løg kogte,5.0,Holland,Nederland,Netherlands,Nederländerna,0.19
1258,448.0,5b0083866fd2dcf4a031b2f9,5,Grönsaker. rotfrukter och svamp,136,Lök,732,Lök. gul,5b7bd6c84a40085c092071cd,5.0,False,0.05,"Scandinavia, Conventional","Sverige, Konventionell","Norge, Konvensjonell","Danmark, Konventionel",Sverige,5.0,RISE-1.5,Lök kokt,Løk kokt,Onion cooked,Løg kogte,5.0,Danmark,Norge,Scandinavia,Sverige,0.19
1259,448.0,5b0083866fd2dcf4a031b2f9,5,Grönsaker. rotfrukter och svamp,136,Lök,732,Lök. gul,5b7bd6c84a40085c092071ce,6.0,True,0.05,"Scandinavia, Organic","Sverige, Ekologisk","Norge, Økologisk","Danmark, Økologisk",Sverige,5.0,RISE-1.5,Lök kokt,Løk kokt,Onion cooked,Løg kogte,5.0,Danmark,Norge,Scandinavia,Sverige,0.19
1260,345.0,5b0083876fd2dcf4a031bbc2,5,Grönsaker. rotfrukter och svamp,127,Grönsaker övriga,735,Majs,5b7bd6c84a40085c09207024,0.0,True,0.88,"Other, Organic","Övrigt ursprung, Ekologisk","Annen opprinnelse, Økologisk","Anden oprindelse, Økologisk",Övrigt,-1.0,RISE-1.4,Majskolv,Maiskolbe,Cornstalk,Majskolbe,2.0,Anden oprindelse,Annen opprinnelse,Other,Övrigt ursprung,0.88
