,SLVID,_id_$oid,FoodCat1ID,FoodCat1Name,FoodCat2ID,FoodCat2Name,FoodCat3ID,FoodCat3Name,Variation_id_$oid,Variation_ID,Variation_Organic,Variation_CO2,Variation_text_en,Variation_text_sv,Variation_text_no,Variation_text_dk,Variation_RegionName,Variation_RegionID,Variation_Source,Name_sv,Name_no,Name_en,Name_dk,Class,Variation_RegionName_dk,Variation_RegionName_no,Variation_RegionName_en,Variation_RegionName_sv,WeightedAverageCO2
1214,4946.0,5b0083876fd2dcf4a031bcc0,5,Grönsaker. rotfrukter och svamp,134,Sallad och bladgrönsaker,767,Sallat,5b7bd6c94a40085c092088a7,0.0,True,0.68,"Other, Organic","Övrigt ursprung, Ekologisk","Annen opprinnelse, Økologisk","Anden oprindelse, Økologisk",Övrigt,-1.0,RISE-1.4,Kruksallat,Kruksallat,Kruksallat,Kruksallat,5.0,Anden oprindelse,Annen opprinnelse,Other,Övrigt ursprung,0.68
1215,4946.0,5b0083876fd2dcf4a031bcc0,5,Grönsaker. rotfrukter och svamp,134,Sallad och bladgrönsaker,767,Sallat,5b7bd6c94a40085c092088a9,2.0,False,4.36,"Switzerland, Conventional","Schweiz, Konventionell","Sveits, Konvensjonell","Schweiz, Konventionel",Schweiz,65.0,RISE-1.5,Kruksallat,Kruksallat,Kruksallat,Kruksallat,5.0,Schweiz,Sveits,Switzerland,Schweiz,0.68
1216,4946.0,5b0083876fd2dcf4a031bcc0,5,Grönsaker. rotfrukter och svamp,134,Sallad och bladgrönsaker,767,Sallat,5b7bd6c94a40085c092088ab,4.0,False,0.3,"Netherlands, Conventional","Nederländerna, Konventionell","Nederland, Konvensjonell","Holland, Konventionel",Nederländerna,42.0,RISE-1.5,Kruksallat,Kruksallat,Kruksallat,Kruksallat,5.0,Holland,Nederland,Netherlands,Nederländerna,0.68
1217,4946.0,5b0083876fd2dcf4a031bcc0,5,Grönsaker. rotfrukter och svamp,134,Sallad och bladgrönsaker,767,Sallat,5b7bd6c94a40085c092088ac,5.0,False,0.45,"Southern Europe, Conventional","Sydeuropa, Konventionell","Sør-Europa, Konvensjonell","Sydeuropa, Konventionel",Sydeuropa,23.0,RISE-1.5,Kruksallat,Kruksallat,Kruksallat,Kruksallat,5.0,Sydeuropa,Sør-Europa,Southern Europe,Sydeuropa,0.68
1218,4946.0,5b0083876fd2dcf4a031bcc0,5,Grönsaker. rotfrukter och svamp,134,Sallad och bladgrönsaker,767,Sallat,5b7bd6c94a40085c092088ad,6.0,False,0.15,"Scandinavia, Conventional","Sverige, Konventionell","Norge, Konvensjonell","Danmark, Konventionel",Sverige,5.0,RISE-1.5,Kruksallat,Kruksallat,Kruksallat,Kruksallat,5.0,Danmark,Norge,Scandinavia,Sverige,0.68
1219,336.0,5b0083876fd2dcf4a031c3e8,5,Grönsaker. rotfrukter och svamp,129,Kål och broccoli,721,Kål. fän-,5b7bd6c84a40085c09206ffb,0.0,True,0.43,"Other, Organic","Övrigt ursprung, Ekologisk","Annen opprinnelse, Økologisk","Anden oprindelse, Økologisk",Övrigt,-1.0,RISE-1.4,Fänkål,Fenikkel,Fennel,Fennikel,1.0,Anden oprindelse,Annen opprinnelse,Other,Övrigt ursprung,0.43
1220,336.0,5b0083876fd2dcf4a031c3e8,5,Grönsaker. rotfrukter och svamp,129,Kål och broccoli,721,Kål. fän-,5b7bd6c84a40085c09206ffd,2.0,False,0.37,"Scandinavia, Conventional","Sverige, Konventionell","Norge, Konvensjonell","Danmark, Konventionel",Sverige,5.0,RISE-1.5,Fänkål,Fenikkel,Fennel,Fennikel,1.0,Danmark,Norge,Scandinavia,Sverige,0.43
1221,336.0,5b0083876fd2dcf4a031c3e8,5,Grönsaker. rotfrukter och svamp,129,Kål och broccoli,721,Kål. fän-,5b7bd6c84a40085c09206ffe,3.0,False,0.47,"Central Europe, Conventional","Centraleuropa, Konventionell","Sentral-Europa, Konvensjonell","Centraleuropa, Konventionel",Centraleuropa,52.0,RISE-1.5,Fänkål,Fenikkel,Fennel,Fennikel,1.0,Centraleuropa,Sentral-Europa,Central Europe,Centraleuropa,0.43
1222,2164.0,5b0083876fd2dcf4a031bf8c,5,Grönsaker. rotfrukter och svamp,129,Kål och broccoli,721,Kål. fän-,5b7bd6c94a40085c09208575,0.0,True,0.43,"Other, Organic","Övrigt ursprung, Ekologisk","Annen opprinnelse, Økologisk","Anden oprindelse, Økologisk",Övrigt,-1.0,RISE-1.4,Fänkål kokt,Fennikel kokt,Fennel cooked,Fennikel kogte,5.0,Anden oprindelse,Annen opprinnelse,Other,Övrigt ursprung,0.43
1223,2164.0,5b0083876fd2dcf4a031bf8c,5,Grönsaker. rotfrukter och svamp,129,Kål och broccoli,721,Kål. fän-,5b7bd6c94a40085c09208577,2.0,False,0.37,"Scandinavia, Conventional","Sverige, Konventionell","Norge, Konvensjonell","Danmark, Konventionel",Sverige,5.0,RISE-1.5,Fänkål kokt,Fennikel kokt,Fennel cooked,Fennikel kogte,5.0,Danmark,Norge,Scandinavia,Sverige,0.43
